"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
189,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",189,"7","",21202007,"","Ward","Ward"
190,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",190,"8","",21202008,"","Ward","Ward"
191,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",8,"Mnquma",191,"9","",21202009,"","Ward","Ward"
192,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",192,"10","",21206010,"","Ward","Ward"
193,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",193,"11","",21206011,"","Ward","Ward"
194,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",194,"12","",21206012,"","Ward","Ward"
195,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",195,"13","",21206013,"","Ward","Ward"
196,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",196,"1","",21206001,"","Ward","Ward"
197,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",197,"2","",21206002,"","Ward","Ward"
198,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",198,"3","",21206003,"","Ward","Ward"
199,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",199,"4","",21206004,"","Ward","Ward"
200,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",200,"5","",21206005,"","Ward","Ward"
201,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",201,"6","",21206006,"","Ward","Ward"
202,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",202,"7","",21206007,"","Ward","Ward"
203,211,"ZAF","South Africa",1,"Eastern Cape",2,"Amathole",9,"Ngqushwa",203,"8","",21206008,"","Ward","Ward"
