"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
93,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",93,"The Msunduzi",NA,"KZN225","Local Municipality","Local Municipality","",""
94,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",94,"uMngeni",NA,"KZN222","Local Municipality","Local Municipality","",""
95,211,"ZAF","South Africa",4,"KwaZulu-Natal",24,"Umgungundlovu",95,"uMshwathi",NA,"KZN221","Local Municipality","Local Municipality","",""
96,211,"ZAF","South Africa",4,"KwaZulu-Natal",25,"Umkhanyakude",96,"Hlabisa",NA,"KZN274","Local Municipality","Local Municipality","",""
97,211,"ZAF","South Africa",4,"KwaZulu-Natal",25,"Umkhanyakude",97,"Jozini",NA,"KZN272","Local Municipality","Local Municipality","",""
98,211,"ZAF","South Africa",4,"KwaZulu-Natal",25,"Umkhanyakude",98,"Mtubatuba",NA,"KZN275","Local Municipality","Local Municipality","",""
99,211,"ZAF","South Africa",4,"KwaZulu-Natal",25,"Umkhanyakude",99,"The Big 5 False Bay",NA,"KZN273","Local Municipality","Local Municipality","",""
100,211,"ZAF","South Africa",4,"KwaZulu-Natal",25,"Umkhanyakude",100,"Umhlabuyalingana",NA,"KZN271","Local Municipality","Local Municipality","",""
101,211,"ZAF","South Africa",4,"KwaZulu-Natal",26,"Umzinyathi",101,"Endumeni",NA,"KZN241","Local Municipality","Local Municipality","",""
102,211,"ZAF","South Africa",4,"KwaZulu-Natal",26,"Umzinyathi",102,"Msinga",NA,"KZN244","Local Municipality","Local Municipality","",""
103,211,"ZAF","South Africa",4,"KwaZulu-Natal",26,"Umzinyathi",103,"Nqutu",NA,"KZN242","Local Municipality","Local Municipality","",""
104,211,"ZAF","South Africa",4,"KwaZulu-Natal",26,"Umzinyathi",104,"Umvoti",NA,"KZN245","Local Municipality","Local Municipality","",""
105,211,"ZAF","South Africa",4,"KwaZulu-Natal",27,"Uthukela",105,"Emnambithi/Ladysmith",NA,"KZN232","Local Municipality","Local Municipality","",""
106,211,"ZAF","South Africa",4,"KwaZulu-Natal",27,"Uthukela",106,"Imbabazane",NA,"KZN236","Local Municipality","Local Municipality","",""
107,211,"ZAF","South Africa",4,"KwaZulu-Natal",27,"Uthukela",107,"Indaka",NA,"KZN233","Local Municipality","Local Municipality","",""
108,211,"ZAF","South Africa",4,"KwaZulu-Natal",27,"Uthukela",108,"Okhahlamba",NA,"KZN235","Local Municipality","Local Municipality","",""
109,211,"ZAF","South Africa",4,"KwaZulu-Natal",27,"Uthukela",109,"Umtshezi",NA,"KZN234","Local Municipality","Local Municipality","",""
110,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu",110,"Mfolozi",NA,"KZN281","Local Municipality","Local Municipality","",""
111,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu",111,"Mthonjaneni",NA,"KZN285","Local Municipality","Local Municipality","",""
112,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu",112,"Nkandla",NA,"KZN286","Local Municipality","Local Municipality","",""
113,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu",113,"Ntambanana",NA,"KZN283","Local Municipality","Local Municipality","",""
114,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu",114,"uMhlathuze",NA,"KZN282","Local Municipality","Local Municipality","",""
115,211,"ZAF","South Africa",4,"KwaZulu-Natal",28,"Uthungulu",115,"uMlalazi",NA,"KZN284","Local Municipality","Local Municipality","",""
116,211,"ZAF","South Africa",4,"KwaZulu-Natal",29,"Zululand",116,"Abaqulusi",NA,"KZN263","Local Municipality","Local Municipality","",""
117,211,"ZAF","South Africa",4,"KwaZulu-Natal",29,"Zululand",117,"eDumbe",NA,"KZN261","Local Municipality","Local Municipality","",""
118,211,"ZAF","South Africa",4,"KwaZulu-Natal",29,"Zululand",118,"Nongoma",NA,"KZN265","Local Municipality","Local Municipality","",""
